protein_file,ligand_file,output_name,pose_number,affinity_kcal_mol,rmsd_lb,rmsd_ub,grid_center_x,grid_center_y,grid_center_z,grid_size_x,grid_size_y,grid_size_z,elapsed_time_seconds,minimization_before,minimization_after,zip_file,output_folder
6EC0_Keratin_1.pdbqt,phb_1_unit.pdbqt,phb_1_6EC0,1,-2.801,0.0,0.0,23.579322814941406,-33.157310485839844,3.113046407699585,83.54800415039062,55.468997955322266,138.8489990234375,1.8090331554412842,,,output/docking/phb_1_6EC0/phb_1_6EC0_all_poses.zip,output/docking/phb_1_6EC0
6EC0_Keratin_1.pdbqt,phb_1_unit.pdbqt,phb_1_6EC0,2,-2.584,11.067,11.538,23.579322814941406,-33.157310485839844,3.113046407699585,83.54800415039062,55.468997955322266,138.8489990234375,1.8090331554412842,,,output/docking/phb_1_6EC0/phb_1_6EC0_all_poses.zip,output/docking/phb_1_6EC0
6EC0_Keratin_1.pdbqt,phb_1_unit.pdbqt,phb_1_6EC0,3,-2.544,42.493,42.855,23.579322814941406,-33.157310485839844,3.113046407699585,83.54800415039062,55.468997955322266,138.8489990234375,1.8090331554412842,,,output/docking/phb_1_6EC0/phb_1_6EC0_all_poses.zip,output/docking/phb_1_6EC0
6EC0_Keratin_1.pdbqt,phb_1_unit.pdbqt,phb_1_6EC0,4,-2.535,47.676,48.101,23.579322814941406,-33.157310485839844,3.113046407699585,83.54800415039062,55.468997955322266,138.8489990234375,1.8090331554412842,,,output/docking/phb_1_6EC0/phb_1_6EC0_all_poses.zip,output/docking/phb_1_6EC0
6EC0_Keratin_1.pdbqt,phb_1_unit.pdbqt,phb_1_6EC0,5,-2.528,71.831,72.263,23.579322814941406,-33.157310485839844,3.113046407699585,83.54800415039062,55.468997955322266,138.8489990234375,1.8090331554412842,,,output/docking/phb_1_6EC0/phb_1_6EC0_all_poses.zip,output/docking/phb_1_6EC0
6EC0_Keratin_1.pdbqt,phb_1_unit.pdbqt,phb_1_6EC0,6,-2.492,44.106,44.509,23.579322814941406,-33.157310485839844,3.113046407699585,83.54800415039062,55.468997955322266,138.8489990234375,1.8090331554412842,,,output/docking/phb_1_6EC0/phb_1_6EC0_all_poses.zip,output/docking/phb_1_6EC0
6EC0_Keratin_1.pdbqt,phb_1_unit.pdbqt,phb_1_6EC0,7,-2.462,82.718,83.2,23.579322814941406,-33.157310485839844,3.113046407699585,83.54800415039062,55.468997955322266,138.8489990234375,1.8090331554412842,,,output/docking/phb_1_6EC0/phb_1_6EC0_all_poses.zip,output/docking/phb_1_6EC0
6EC0_Keratin_1.pdbqt,phb_1_unit.pdbqt,phb_1_6EC0,8,-2.435,44.045,44.392,23.579322814941406,-33.157310485839844,3.113046407699585,83.54800415039062,55.468997955322266,138.8489990234375,1.8090331554412842,,,output/docking/phb_1_6EC0/phb_1_6EC0_all_poses.zip,output/docking/phb_1_6EC0
7CWK_Collagen_type_I.pdbqt,phb_1_unit.pdbqt,phb_1_7CWK,1,-2.28,0.0,0.0,-5.76887321472168,8.983650207519531,9.44984245300293,76.63400268554688,14.230999946594238,20.966999053955078,1.5195438861846924,,,output/docking/phb_1_7CWK/phb_1_7CWK_all_poses.zip,output/docking/phb_1_7CWK
7CWK_Collagen_type_I.pdbqt,phb_1_unit.pdbqt,phb_1_7CWK,2,-2.264,1.703,2.469,-5.76887321472168,8.983650207519531,9.44984245300293,76.63400268554688,14.230999946594238,20.966999053955078,1.5195438861846924,,,output/docking/phb_1_7CWK/phb_1_7CWK_all_poses.zip,output/docking/phb_1_7CWK
7CWK_Collagen_type_I.pdbqt,phb_1_unit.pdbqt,phb_1_7CWK,3,-2.244,2.434,3.225,-5.76887321472168,8.983650207519531,9.44984245300293,76.63400268554688,14.230999946594238,20.966999053955078,1.5195438861846924,,,output/docking/phb_1_7CWK/phb_1_7CWK_all_poses.zip,output/docking/phb_1_7CWK
